Text,pos_tagged_words,words_list,new_text,scores,compound,sentiment_vader
"se quedaron #sin vacunarse muchos yucatecos... no enviaron la misma dotación de vacuna #pfizer la logística les falló, sí la primera dosis de esta la recibieron una cifra de personas, lo lógico ""és"" que enviarán la #misma cantidad. no fueron vacunados. 🤦🏻‍♀️🙄🤦🏻‍♀️","[('many', 'JJ'), ('yucatecans', 'NNS'), ('stayed', 'VBD'), ('without', 'IN'), ('being', 'VBG'), ('vaccinated', 'VBN'), ('they', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('send', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('amount', 'NN'), ('of', 'IN'), ('pfizer', 'NN'), ('vaccine', 'VBP'), ('the', 'DT'), ('logistics', 'NNS'), ('failed', 'VBD'), ('them', 'PRP'), ('yes', 'VB'), ('the', 'DT'), ('first', 'JJ'), ('dose', 'NN'), ('of', 'IN'), ('this', 'DT'), ('was', 'VBD'), ('received', 'VBN'), ('by', 'IN'), ('a', 'DT'), ('number', 'NN'), ('of', 'IN'), ('people', 'NNS'), ('the', 'DT'), ('logical', 'JJ'), ('thing', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('they', 'PRP'), ('will', 'MD'), ('send', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('amount', 'NN'), ('they', 'PRP'), ('were', 'VBD'), ('not', 'RB'), ('vaccinated', 'VBN'), ('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('i', 'VBP')]","['many', 'yucatecan', 'stay', 'without', 'vaccinate', 'not', 'send', 'amount', 'pfizer', 'vaccine', 'logistic', 'fail', 'yes', 'first', 'dose', 'receive', 'number', 'people', 'logical', 'thing', 'send', 'amount', 'not', 'vaccinate']",many yucatecan stay without vaccinate not send amount pfizer vaccine logistic fail yes first dose receive number people logical thing send amount not vaccinate,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
"ora si, inoculada con mi chip 5g de pfizer 💉✔️","[('now', 'RB'), ('yes', 'RB'), ('inoculated', 'VBN'), ('with', 'IN'), ('my', 'PRP$'), ('og', 'JJ'), ('chip', 'NN'), ('from', 'IN'), ('pfizer', 'NN'), ('i', 'NN')]","['yes', 'inoculate', 'og_chip', 'pfizer']",yes inoculate og_chip pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"oye, mis alumnos me dijeron que no era mala idea ponerme la pfizer de nuevo acá 🤔 contara como 3era dosis no pa que me pasen un papel, sino pa sentirme más protegidops","[('hey', 'NN'), ('my', 'PRP$'), ('students', 'NNS'), ('told', 'VBD'), ('me', 'PRP'), ('that', 'IN'), ('it', 'PRP'), ('wasn', 'VBD'), ('i', 'VB'), ('a', 'DT'), ('bad', 'JJ'), ('idea', 'NN'), ('to', 'TO'), ('put', 'VB'), ('the', 'DT'), ('pfizer', 'NN'), ('back', 'RB'), ('on', 'IN'), ('here', 'RB'), ('will', 'MD'), ('count', 'VB'), ('as', 'IN'), ('the', 'DT'), ('ord', 'NN'), ('dose', 'NN'), ('not', 'RB'), ('so', 'RB'), ('that', 'IN'), ('they', 'PRP'), ('pass', 'VBP'), ('me', 'PRP'), ('a', 'DT'), ('piece', 'NN'), ('of', 'IN'), ('paper', 'NN'), ('but', 'CC'), ('to', 'TO'), ('feel', 'VB'), ('more', 'RBR'), ('protected', 'JJ')]","['hey', 'student', 'tell', 'bad', 'idea', 'put', 'pfizer', 'back', 'count', 'ord', 'dose', 'not', 'pass', 'piece', 'paper', 'feel', 'protect']",hey student tell bad idea put pfizer back count ord dose not pass piece paper feel protect,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
this s o b needs be checked his conspiracy with pfizer how much grift$$$ he will get pumping this crap .,"[('this', 'DT'), ('i', 'JJ'), ('o', 'VBP'), ('i', 'JJ'), ('needs', 'NNS'), ('be', 'VB'), ('checked', 'VBN'), ('his', 'PRP$'), ('conspiracy', 'NN'), ('with', 'IN'), ('pfizer', 'NN'), ('how', 'WRB'), ('much', 'JJ'), ('grift', 'NN'), ('he', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('pumping', 'VBG'), ('this', 'DT'), ('crap', 'NN')]","['need', 'check', 'conspiracy', 'pfizer', 'much', 'grift', 'get', 'pump', 'crap']",need check conspiracy pfizer much grift get pump crap,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.7506}",-0.7506,negative
"se gasto la pfizer y la carga de trabajo se aminoro drásticamente, ahora solo estamos aplicando la sinovac y están viniendo cuenta gotas.","[('the', 'DT'), ('pfizer', 'NN'), ('was', 'VBD'), ('spent', 'VBN'), ('and', 'CC'), ('the', 'DT'), ('workload', 'NN'), ('was', 'VBD'), ('drastically', 'RB'), ('reduced', 'VBN'), ('now', 'RB'), ('we', 'PRP'), ('are', 'VBP'), ('only', 'RB'), ('applying', 'VBG'), ('the', 'DT'), ('siva', 'NN'), ('and', 'CC'), ('they', 'PRP'), ('are', 'VBP'), ('coming', 'VBG'), ('in', 'IN'), ('drops', 'NNS')]","['pfizer', 'spend', 'workload', 'drastically', 'reduce', 'apply', 'siva', 'come', 'drop']",pfizer spend workload drastically reduce apply siva come drop,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"should be irrelevant once full approval comes through pfizer couple weeks, right","[('should', 'MD'), ('be', 'VB'), ('irrelevant', 'JJ'), ('once', 'RB'), ('full', 'JJ'), ('approval', 'NN'), ('comes', 'VBZ'), ('through', 'IN'), ('pfizer', 'JJ'), ('couple', 'JJ'), ('weeks', 'NNS'), ('right', 'RB')]","['irrelevant', 'full', 'approval', 'come', 'pfizer', 'couple', 'week', 'right']",irrelevant full approval come pfizer couple week right,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}",0.4767,positive
i only got tiny little jj prick. now i’m looking forward moderna/pfizer gang bang. bring those pricks,"[('i', 'NN'), ('only', 'RB'), ('got', 'VBD'), ('tiny', 'JJ'), ('little', 'JJ'), ('je', 'JJ'), ('prick', 'NN'), ('now', 'RB'), ('i', 'VBZ'), ('i', 'NN'), ('i', 'VBP'), ('looking', 'VBG'), ('forward', 'RB'), ('modern', 'JJ'), ('pfizer', 'NN'), ('gang', 'NN'), ('bang', 'VBD'), ('bring', 'VBG'), ('those', 'DT'), ('pricks', 'NNS')]","['get', 'tiny', 'little', 'je', 'prick', 'looking_forward', 'modern', 'pfizer', 'gang', 'bang', 'bring', 'prick']",get tiny little je prick looking_forward modern pfizer gang bang bring prick,"{'neg': 0.215, 'neu': 0.694, 'pos': 0.091, 'compound': -0.3214}",-0.3214,positive
my marine was one very first his unit sign up receive pfizer vaccine last february. since then his little brothers i have all fully pfizered as well. #taketheshot #covidvaccine #covid,"[('my', 'PRP$'), ('marine', 'NN'), ('was', 'VBD'), ('one', 'CD'), ('very', 'RB'), ('first', 'JJ'), ('his', 'PRP$'), ('unit', 'NN'), ('sign', 'NN'), ('up', 'RB'), ('receive', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('last', 'JJ'), ('february', 'JJ'), ('since', 'IN'), ('then', 'RB'), ('his', 'PRP$'), ('little', 'JJ'), ('brothers', 'NNS'), ('i', 'VBP'), ('have', 'VBP'), ('all', 'DT'), ('fully', 'RB'), ('pfizer', 'VBN'), ('as', 'RB'), ('well', 'RB'), ('taketheshot', 'JJ'), ('covidvaccine', 'NN'), ('covid', 'NN')]","['marine', 'one', 'first', 'unit', 'sign', 'receive', 'pfizer', 'vaccine', 'last', 'february', 'since', 'little', 'brother', 'fully', 'pfizer', 'well', 'taketheshot', 'covidvaccine', 'covid']",marine one first unit sign receive pfizer vaccine last february since little brother fully pfizer well taketheshot covidvaccine covid,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.3321}",0.3321,positive
had mine last christmas felt just like pfizer shot aftereffects,"[('had', 'VBD'), ('mine', 'VBN'), ('last', 'JJ'), ('christmas', 'NN'), ('felt', 'VBD'), ('just', 'RB'), ('like', 'IN'), ('pfizer', 'NN'), ('shot', 'NN'), ('aftereffects', 'NNS')]","['mine', 'last', 'christmas', 'feel', 'like', 'pfizer', 'shoot', 'aftereffect']",mine last christmas feel like pfizer shoot aftereffect,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,negative
hey if you dad or whomever has some other nuance that i’m not aware or my simplification isn’t correct feel free come back it tell us haha. i’m basing this off my conversations with girl i know at pfizer. there could be details that were glossed over.,"[('hey', 'NN'), ('if', 'IN'), ('you', 'PRP'), ('dad', 'VBP'), ('or', 'CC'), ('whomever', 'WDT'), ('has', 'VBZ'), ('some', 'DT'), ('other', 'JJ'), ('nuance', 'NN'), ('that', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('not', 'RB'), ('aware', 'JJ'), ('or', 'CC'), ('my', 'PRP$'), ('simplification', 'NN'), ('isn', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('correct', 'VBP'), ('feel', 'VB'), ('free', 'JJ'), ('come', 'VBN'), ('back', 'RP'), ('it', 'PRP'), ('tell', 'VB'), ('us', 'PRP'), ('haha', 'VB'), ('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('basing', 'VBG'), ('this', 'DT'), ('off', 'IN'), ('my', 'PRP$'), ('conversations', 'NNS'), ('with', 'IN'), ('girl', 'NN'), ('i', 'NN'), ('know', 'VBP'), ('at', 'IN'), ('pfizer', 'NN'), ('there', 'EX'), ('could', 'MD'), ('be', 'VB'), ('details', 'NNS'), ('that', 'WDT'), ('were', 'VBD'), ('glossed', 'VBN'), ('over', 'IN')]","['hey', 'dad', 'whomever', 'nuance', 'not', 'aware', 'simplification', 'correct', 'feel', 'free', 'come', 'back', 'tell', 'we', 'haha', 'base', 'conversation', 'girl', 'know', 'pfizer', 'could', 'detail', 'gloss']",hey dad whomever nuance not aware simplification correct feel free come back tell we haha base conversation girl know pfizer could detail gloss,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.743}",0.743,positive
"so us needing booster every year, assures pfizer massive revenue many years.","[('so', 'RB'), ('us', 'PRP'), ('needing', 'VBG'), ('booster', 'NN'), ('every', 'DT'), ('year', 'NN'), ('assures', 'VBZ'), ('pfizer', 'VBP'), ('massive', 'JJ'), ('revenue', 'NN'), ('many', 'JJ'), ('years', 'NNS')]","['we', 'need', 'booster', 'every', 'year', 'assure', 'pfizer', 'massive', 'revenue', 'many', 'year']",we need booster every year assure pfizer massive revenue many year,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}",0.3182,negative
"so happy, i was just approved by local health dept director get second vaccine dose j &amp; j since i had allergic reaction first one. pfizer but w/the #deltavariant variant attacking partially vaccinated, 17th, i will finally be fully vaccinated.😊","[('so', 'RB'), ('happy', 'JJ'), ('i', 'NN'), ('was', 'VBD'), ('just', 'RB'), ('approved', 'VBN'), ('by', 'IN'), ('local', 'JJ'), ('health', 'NN'), ('dept', 'NNS'), ('director', 'NN'), ('get', 'VBP'), ('second', 'JJ'), ('vaccine', 'NN'), ('dose', 'NN'), ('i', 'NN'), ('amp', 'VBP'), ('i', 'NN'), ('since', 'IN'), ('i', 'NN'), ('had', 'VBD'), ('allergic', 'JJ'), ('reaction', 'NN'), ('first', 'RB'), ('one', 'CD'), ('pfizer', 'NN'), ('but', 'CC'), ('i', 'VBZ'), ('the', 'DT'), ('deltavariant', 'NN'), ('variant', 'NN'), ('attacking', 'VBG'), ('partially', 'RB'), ('vaccinated', 'VBN'), ('with', 'IN'), ('i', 'NN'), ('will', 'MD'), ('finally', 'RB'), ('be', 'VB'), ('fully', 'RB'), ('vaccinated', 'VBN')]","['happy', 'approve', 'local', 'health_dept', 'director', 'get', 'second', 'vaccine', 'dose', 'amp', 'since', 'allergic_reaction', 'first', 'one', 'pfizer', 'deltavariant', 'variant', 'attack', 'partially', 'vaccinate', 'finally', 'fully', 'vaccinate']",happy approve local health_dept director get second vaccine dose amp since allergic_reaction first one pfizer deltavariant variant attack partially vaccinate finally fully vaccinate,"{'neg': 0.137, 'neu': 0.756, 'pos': 0.107, 'compound': -0.2967}",-0.2967,positive
i know someone who literally works pfizer overseeing vaccine trials so i asked her bunch questions what was diff vs what was same. basically ton admin stuff was sped up but trials themselves were modeled off flu vax run no different.,"[('i', 'NN'), ('know', 'VBP'), ('someone', 'NN'), ('who', 'WP'), ('literally', 'RB'), ('works', 'VBZ'), ('pfizer', 'NN'), ('overseeing', 'VBG'), ('vaccine', 'NN'), ('trials', 'NNS'), ('so', 'RB'), ('i', 'JJ'), ('asked', 'VBD'), ('her', 'PRP$'), ('bunch', 'JJ'), ('questions', 'NNS'), ('what', 'WP'), ('was', 'VBD'), ('diff', 'NN'), ('is', 'VBZ'), ('what', 'WP'), ('was', 'VBD'), ('same', 'JJ'), ('basically', 'RB'), ('ton', 'VBP'), ('admin', 'NNS'), ('stuff', 'NN'), ('was', 'VBD'), ('sped', 'VBN'), ('up', 'RP'), ('but', 'CC'), ('trials', 'NNS'), ('themselves', 'PRP'), ('were', 'VBD'), ('modeled', 'VBN'), ('off', 'RP'), ('flu', 'JJ'), ('van', 'NN'), ('run', 'VBP'), ('no', 'DT'), ('different', 'JJ')]","['know', 'someone', 'literally', 'work', 'pfizer', 'oversee', 'vaccine', 'trial', 'ask', 'bunch', 'question', 'diff', 'basically', 'ton', 'admin', 'stuff', 'speed', 'trial', 'model', 'flu', 'van', 'run', 'different']",know someone literally work pfizer oversee vaccine trial ask bunch question diff basically ton admin stuff speed trial model flu van run different,"{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.7351}",-0.7351,neutral
pfizer rifa,"[('pfizer', 'NN'), ('raffle', 'NN')]","['pfizer', 'raffle']",pfizer raffle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"hace rato en la fila para la vacunación, una pareja se levantó y se fue muy indignada porque no había pfizer. despreciaron una vacuna de sinovac, y en ese momento me sentí afortunado por tener la oportunidad de aumentar mis posibilidades de sobrevivir este virus #vacuna #puebla","[('a', 'DT'), ('while', 'NN'), ('ago', 'RB'), ('in', 'IN'), ('line', 'NN'), ('for', 'IN'), ('vaccination', 'NN'), ('a', 'DT'), ('couple', 'NN'), ('got', 'VBD'), ('up', 'RB'), ('and', 'CC'), ('left', 'VBD'), ('very', 'RB'), ('upset', 'JJ'), ('because', 'IN'), ('there', 'EX'), ('was', 'VBD'), ('no', 'DT'), ('pfizer', 'NN'), ('they', 'PRP'), ('despised', 'VBD'), ('a', 'DT'), ('sinovac', 'JJ'), ('vaccine', 'NN'), ('and', 'CC'), ('at', 'IN'), ('that', 'DT'), ('moment', 'NN'), ('i', 'NN'), ('felt', 'VBD'), ('lucky', 'JJ'), ('to', 'TO'), ('have', 'VB'), ('the', 'DT'), ('opportunity', 'NN'), ('to', 'TO'), ('increase', 'VB'), ('my', 'PRP$'), ('chances', 'NNS'), ('of', 'IN'), ('surviving', 'VBG'), ('this', 'DT'), ('virus', 'NN'), ('vaccine', 'NN'), ('pueblo', 'NN')]","['ago', 'line', 'vaccination', 'couple', 'get', 'leave', 'upset', 'pfizer', 'despise', 'sinovac', 'vaccine', 'moment', 'feel', 'lucky', 'opportunity', 'increase', 'chance', 'survive', 'virus', 'vaccine', 'pueblo']",ago line vaccination couple get leave upset pfizer despise sinovac vaccine moment feel lucky opportunity increase chance survive virus vaccine pueblo,"{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
i know that thailand was expecting some pfizer vaccines that they were selling high end customers they recently announced that wouldn’t be able get them.,"[('i', 'NN'), ('know', 'VBP'), ('that', 'IN'), ('thailand', 'NN'), ('was', 'VBD'), ('expecting', 'VBG'), ('some', 'DT'), ('pfizer', 'NN'), ('vaccines', 'NNS'), ('that', 'IN'), ('they', 'PRP'), ('were', 'VBD'), ('selling', 'VBG'), ('high', 'JJ'), ('end', 'NN'), ('customers', 'NNS'), ('they', 'PRP'), ('recently', 'RB'), ('announced', 'VBD'), ('that', 'IN'), ('wouldn', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('be', 'VB'), ('able', 'JJ'), ('get', 'VB'), ('them', 'PRP')]","['know', 'thailand', 'expect', 'pfizer', 'vaccine', 'sell', 'high', 'end', 'customer', 'recently', 'announce', 'able', 'get']",know thailand expect pfizer vaccine sell high end customer recently announce able get,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
jealous,"[('jealous', 'JJ')]",['jealous'],jealous,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
"just got home well visit at pediatrician. my kids are wait list clinical trial #moderna vaccine. as someone who was #vaccinated with #pfizer, i asked doc whether she had preference, was relieved hear- whatever they can get first","[('just', 'RB'), ('got', 'VBD'), ('home', 'RB'), ('well', 'RB'), ('visit', 'NN'), ('at', 'IN'), ('pediatrician', 'JJ'), ('my', 'PRP$'), ('kids', 'NNS'), ('are', 'VBP'), ('wait', 'JJ'), ('list', 'JJ'), ('clinical', 'JJ'), ('trial', 'NN'), ('modern', 'JJ'), ('vaccine', 'NN'), ('as', 'IN'), ('someone', 'NN'), ('who', 'WP'), ('was', 'VBD'), ('vaccinated', 'VBN'), ('with', 'IN'), ('pfizer', 'NN'), ('i', 'NN'), ('asked', 'VBD'), ('doc', 'NN'), ('whether', 'IN'), ('she', 'PRP'), ('had', 'VBD'), ('preference', 'NN'), ('was', 'VBD'), ('relieved', 'VBN'), ('hear', 'JJ'), ('whatever', 'IN'), ('they', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('first', 'JJ')]","['get', 'home', 'well', 'visit', 'pediatrician', 'kid', 'wait', 'list', 'clinical_trial', 'modern', 'vaccine', 'someone', 'vaccinate', 'pfizer', 'ask', 'doc', 'whether', 'preference', 'relieve', 'hear', 'whatever', 'get', 'first']",get home well visit pediatrician kid wait list clinical_trial modern vaccine someone vaccinate pfizer ask doc whether preference relieve hear whatever get first,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.5719}",0.5719,positive
we all do it. don’t be shy,"[('we', 'PRP'), ('all', 'DT'), ('do', 'VBP'), ('it', 'PRP'), ('don', 'VB'), ('i', 'JJ'), ('i', 'NN'), ('be', 'VB'), ('shy', 'JJ')]",['shy'],shy,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.25}",-0.25,positive
"#covid19 update part beta: only issue with pfizer helmet is you will need oxygen tank sold separately $29,999.99. #fauci says this should only last until they run out greek letters variants. only safe place seems be at lollapalooza.","[('update', 'JJ'), ('part', 'NN'), ('beta', 'VBZ'), ('only', 'RB'), ('issue', 'NN'), ('with', 'IN'), ('pfizer', 'JJ'), ('helmet', 'NN'), ('is', 'VBZ'), ('you', 'PRP'), ('will', 'MD'), ('need', 'VB'), ('oxygen', 'NN'), ('tank', 'NN'), ('sold', 'VBD'), ('separately', 'RB'), ('twentynine', 'JJ'), ('faci', 'NN'), ('says', 'VBZ'), ('this', 'DT'), ('should', 'MD'), ('only', 'RB'), ('last', 'JJ'), ('until', 'IN'), ('they', 'PRP'), ('run', 'VBP'), ('out', 'RP'), ('greek', 'JJ'), ('letters', 'NNS'), ('variants', 'NNS'), ('only', 'RB'), ('safe', 'JJ'), ('place', 'NN'), ('seems', 'VBZ'), ('be', 'VB'), ('at', 'IN'), ('lollapalooza', 'NN')]","['update', 'part', 'beta', 'issue', 'pfizer', 'helmet', 'need', 'tank', 'sell', 'separately', 'twentynine', 'faci', 'say', 'last', 'run', 'greek', 'letter', 'variant', 'safe', 'place', 'seem', 'lollapalooza']",update part beta issue pfizer helmet need tank sell separately twentynine faci say last run greek letter variant safe place seem lollapalooza,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.4404}",0.4404,positive
"#covid19 update triple mask mandate coming. unless driving or home then double mask. but church, quad mask. everyone needs two boosters. when you get them, you can go down one mask each scenario. plane you will need pfizer's new helmet tested astronauts…","[('update', 'JJ'), ('triple', 'NN'), ('mask', 'NN'), ('mandate', 'NN'), ('coming', 'VBG'), ('unless', 'IN'), ('driving', 'VBG'), ('or', 'CC'), ('home', 'NN'), ('then', 'RB'), ('double', 'RB'), ('mask', 'NN'), ('but', 'CC'), ('church', 'NN'), ('quad', 'NN'), ('mask', 'NN'), ('everyone', 'NN'), ('needs', 'VBZ'), ('two', 'CD'), ('boosters', 'NNS'), ('when', 'WRB'), ('you', 'PRP'), ('get', 'VBP'), ('them', 'PRP'), ('you', 'PRP'), ('can', 'MD'), ('go', 'VB'), ('down', 'RP'), ('one', 'CD'), ('mask', 'NN'), ('each', 'DT'), ('scenario', 'NN'), ('plane', 'NN'), ('you', 'PRP'), ('will', 'MD'), ('need', 'VB'), ('pfizer', 'NN'), ('i', 'VB'), ('new', 'JJ'), ('helmet', 'NN'), ('tested', 'VBD'), ('astronauts', 'NNS'), ('i', 'NN')]","['update', 'triple', 'mask_mandate', 'come', 'unless', 'drive', 'home', 'double', 'mask', 'church', 'quad', 'mask', 'everyone', 'need', 'two', 'booster', 'get', 'go', 'one', 'mask', 'scenario', 'plane', 'need', 'pfizer', 'new', 'helmet', 'test', 'astronaut']",update triple mask_mandate come unless drive home double mask church quad mask everyone need two booster get go one mask scenario plane need pfizer new helmet test astronaut,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
pa que no le estés echando la culpa la pfizer,"[('so', 'RB'), ('that', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('blaming', 'VBG'), ('the', 'DT'), ('pfizer', 'NN')]","['not', 'blame', 'pfizer']",not blame pfizer,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
"i've been wondering about this. had j&amp;j, but wonder if i should stack pfizer now. my mom has 0 immune system, so i am doing anything i can protect here. including some their shopping.","[('i', 'NN'), ('ve', 'VBP'), ('been', 'VBN'), ('wondering', 'VBG'), ('about', 'IN'), ('this', 'DT'), ('had', 'VBD'), ('i', 'JJ'), ('amp', 'NN'), ('i', 'NN'), ('but', 'CC'), ('wonder', 'VBP'), ('if', 'IN'), ('i', 'NNS'), ('should', 'MD'), ('stack', 'VB'), ('pfizer', 'NN'), ('now', 'RB'), ('my', 'PRP$'), ('mom', 'NN'), ('has', 'VBZ'), ('zero', 'VBN'), ('immune', 'JJ'), ('system', 'NN'), ('so', 'IN'), ('i', 'JJ'), ('am', 'VBP'), ('doing', 'VBG'), ('anything', 'NN'), ('i', 'NN'), ('can', 'MD'), ('protect', 'VB'), ('here', 'RB'), ('including', 'VBG'), ('some', 'DT'), ('their', 'PRP$'), ('shopping', 'NN')]","['wonder', 'amp', 'wonder', 'stack', 'pfizer', 'mom', 'zero', 'immune_system', 'anything', 'protect', 'include', 'shopping']",wonder amp wonder stack pfizer mom zero immune_system anything protect include shopping,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.7351}",0.7351,positive
dennis dennises re-dennises woman at site before each shot. mac moves after contact but is reluctant until dennis convinces him pfizer cultivates mass. charlie frank miss second shot getting lost sewers. dee gets multiple vaccines free beers.,"[('dennis', 'NN'), ('denies', 'NNS'), ('re', 'VBP'), ('denies', 'NNS'), ('woman', 'NN'), ('at', 'IN'), ('site', 'NN'), ('before', 'IN'), ('each', 'DT'), ('shot', 'NN'), ('mac', 'NN'), ('moves', 'NNS'), ('after', 'IN'), ('contact', 'NN'), ('but', 'CC'), ('is', 'VBZ'), ('reluctant', 'JJ'), ('until', 'IN'), ('dennis', 'JJ'), ('convinces', 'NNS'), ('him', 'PRP'), ('pfizer', 'VBP'), ('cultivates', 'NNS'), ('mass', 'VBP'), ('charlie', 'NN'), ('frank', 'JJ'), ('miss', 'JJ'), ('second', 'NN'), ('shot', 'NN'), ('getting', 'VBG'), ('lost', 'VBN'), ('sewers', 'NNS'), ('dee', 'VBP'), ('gets', 'VBZ'), ('multiple', 'JJ'), ('vaccines', 'NNS'), ('free', 'JJ'), ('beers', 'NNS')]","['dennis', 'deny', 'deny', 'woman', 'site', 'shoot', 'mac', 'move', 'contact', 'reluctant', 'dennis', 'convince', 'pfizer', 'cultivate', 'mass', 'charlie', 'frank', 'miss', 'second', 'shot', 'get', 'lose', 'sewer', 'dee', 'get', 'multiple', 'vaccine', 'free', 'beer']",dennis deny deny woman site shoot mac move contact reluctant dennis convince pfizer cultivate mass charlie frank miss second shot get lose sewer dee get multiple vaccine free beer,"{'neg': 0.16, 'neu': 0.698, 'pos': 0.142, 'compound': 0.0387}",0.0387,positive
‼️reminder‼️ irving isd is partnering with geneiq offer first second pfizer vaccinations free 📆 today ⏰ 3 - 8 pm 📍 cafeteria ➡️ access code: macarthur register at or walk appointment,"[('i', 'NN'), ('i', 'VBP'), ('irving', 'VBG'), ('isd', 'NN'), ('is', 'VBZ'), ('partnering', 'VBG'), ('with', 'IN'), ('genetic', 'JJ'), ('offer', 'NN'), ('first', 'JJ'), ('second', 'JJ'), ('pfizer', 'NN'), ('vaccinations', 'NNS'), ('free', 'VBP'), ('tear', 'IN'), ('today', 'NN'), ('three', 'CD'), ('eight', 'CD'), ('am', 'VBP'), ('cafeteria', 'NN'), ('i', 'JJ'), ('access', 'NN'), ('code', 'NN'), ('macarthur', 'NN'), ('register', 'NN'), ('at', 'IN'), ('or', 'CC'), ('walk', 'VB'), ('appointment', 'NN')]","['irving', 'isd', 'partner', 'genetic', 'offer', 'first', 'second', 'pfizer', 'vaccination', 'free', 'tear', 'today', 'three', 'eight', 'cafeteria', 'access', 'code', 'macarthur', 'register', 'walk', 'appointment']",irving isd partner genetic offer first second pfizer vaccination free tear today three eight cafeteria access code macarthur register walk appointment,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.5106}",0.5106,neutral
"sorry, “pfizer jawn” amirite","[('sorry', 'NN'), ('i', 'JJ'), ('pfizer', 'VBP'), ('dawn', 'NN'), ('i', 'NN'), ('airite', 'VBP')]","['sorry', 'pfizer', 'dawn', 'airite']",sorry pfizer dawn airite,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.0772}",-0.0772,negative
my dad is either getting third pfizer shot or placebo tomorrow as part study.,"[('my', 'PRP$'), ('dad', 'NN'), ('is', 'VBZ'), ('either', 'RB'), ('getting', 'VBG'), ('third', 'JJ'), ('pfizer', 'NN'), ('shot', 'NN'), ('or', 'CC'), ('placebo', 'NN'), ('tomorrow', 'NN'), ('as', 'IN'), ('part', 'NN'), ('study', 'NN')]","['dad', 'either', 'get', 'third', 'pfizer', 'shoot', 'placebo', 'tomorrow', 'part', 'study']",dad either get third pfizer shoot placebo tomorrow part study,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
likewise — pfizer/moderna here.,"[('likewise', 'RB'), ('i', 'JJ'), ('pfizer', 'NN'), ('modern', 'NN'), ('here', 'RB')]","['likewise', 'pfizer', 'modern']",likewise pfizer modern,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
